picture,word,depicts,score,remarks
D064.svg,walking,legs walking in motion,4,
D064.svg,striding,legs walking in motion,3,dedup of 'running'
E002.svg,charging,charging bull,4,
E005.svg,nurturing,cow suckling a calf,4,dedup of 'nursing'
E006.svg,galloping,horse,3,
E013.svg,prowling,cat,3,
E015.svg,skulking,recumbent jackal,3,dedup of 'lying'; shortened from 'lurking-low'
E021.svg,crouched,recumbent Seth animal,3,dedup of 'lying'
E034.svg,bounding,desert hare,3,dedup of 'leaping'
F002.svg,goring,horns of a bull,3,
G001.svg,soaring,Egyptian vulture,3,
G002.svg,gliding,two Egyptian vultures,3,dedup of 'soaring'
G004.svg,circling,buzzard / kite,3,
G005.svg,swooping,falcon (Horus falcon),3,
G006A.svg,perched,falcon on standard,3,
G014.svg,brooding,"vulture (mother vulture, Mut)",3,
G017.svg,hooting,owl,3,
G026.svg,wading,sacred ibis on standard (Thoth),3,
G026A.svg,paddling,ibis (variant),3,dedup of 'wading'
G027.svg,stalking,flamingo,3,dedup of 'wading'
G029.svg,wadestep,jabiru / saddle-billed stork,3,"dedup of 'wading'; shortened from 'striding-shallows'; plain word, was 'wadewalk'"
G030.svg,foraging,three jabirus / storks,3,dedup of 'wading'
G031.svg,stilting,heron,3,dedup of 'wading'; shortened from 'stilt-walking'
G032.svg,roosting,heron on perch,3,dedup of 'perched'
G033.svg,marshing,cattle egret,3,dedup of 'wading'; shortened from 'marsh-treading'
G034.svg,sprinting,ostrich,4,dedup of 'running'
G035.svg,diving,cormorant,3,
G039.svg,swimming,pintail duck,3,
G040.svg,flying,pintail duck flying,5,
G041.svg,alighting,pintail duck alighting,4,
G041.svg,landing,pintail duck alighting,4,
G048.svg,nesting,three ducklings in a nest,3,
G050.svg,dabbling,two plovers,3,dedup of 'wading'; shortened from 'wading-pair'
G051.svg,pecking,bird pecking at fish,5,
G051.svg,feeding,bird pecking at fish,4,
I002.svg,crawling,turtle / tortoise,3,
I003.svg,lurking,crocodile,3,
I007.svg,hopping,frog,3,dedup of 'leaping'
I009.svg,snaking,horned viper,3,shortened from 'slithering'
I010.svg,rearing,cobra,3,
I011A.svg,coiling,two cobras,3,dedup of 'rearing'
I012.svg,rearingup,erect cobra (uraeus),4,"dedup of 'rearing'; plain word, was 'uprearing'"
I013.svg,hooding,erect cobra on basket,3,dedup of 'rearing'; shortened from 'striking-cobra'
I015.svg,creeping,snake / serpent,3,dedup of 'slithering'; shortened from 'gliding-low'
K003.svg,finning,mullet fish,3,dedup of 'swimming'
L001.svg,scuttling,dung beetle / scarab,3,dedup of 'crawling'; shortened from 'scrabbling'
L002.svg,buzzing,bee,3,
L002A.svg,humming,bee (variant),3,dedup of 'buzzing'
L003.svg,droning,fly,3,dedup of 'buzzing'
L004.svg,springing,locust / grasshopper,3,dedup of 'leaping'
L007.svg,stinging,scorpion,3,
M021.svg,sprouting,reeds sprouting from ground,4,
N027.svg,dawning,sun rising over mountain,3,
N028.svg,shining,rays of sun over hill (sunrise),3,
N040.svg,fording,pool with walking legs,3,dedup of 'wading'
P002.svg,sailing,ship under sail,4,
P008.svg,oaring,oar,3,dedup of 'rowing'
R007.svg,burning,bowl with burning incense,3,
S038.svg,governing,crook (heqa-sceptre),3,dedup of 'ruling'; heqa=rule
T003.svg,smashing,mace with pear-shaped head,3,was 'smiting'
T007A.svg,fighting,battle-axe,3,
T010.svg,shooting,composite bow,4,
T011.svg,loosing,arrow,4,dedup of 'shooting'
T011A.svg,firing,arrow variant,4,dedup of 'shooting'
T017.svg,riding,chariot,3,
T028.svg,chopping,butcher's chopping block,3,
T028.svg,carving,butcher's chopping block,3,shortened from 'butchering'
T030.svg,cutting,knife,4,
T036.svg,defending,round-topped shield,3,
U028.svg,drilling,fire-drill / borer,3,
U042.svg,weighing,pair of scales / balance,3,
V009.svg,ringing,shen-ring / circular cord,3,shortened from 'encircling'
V017.svg,shielding,"herdsman's shelter (sa, protection)",3,shortened from 'protecting'
V023.svg,lashing,whip,3,dedup of 'whipping'
V024.svg,binding,cord wound on a stick (wedj),3,
V037.svg,wrapping,bandage / roll of linen,3,dedup of 'binding'
Y003.svg,writing,"scribe's outfit (palette, pen-case)",3,
Y004.svg,penning,scribe's outfit variant,3,dedup of 'writing'; shortened from 'inscribing'
Z009.svg,crossing,two crossed diagonal strokes,3,
