picture,word,depicts,score,remarks
C004.svg,ramhead,ram-headed god (Khnum),5,"plain word, was 'Khnum'; real noun, was 'rammage'"
C005.svg,ramgod,ram-headed god holding ankh (Khnum),5,"dedup of 'Khnum'; shortened from 'ram-god'; plain word, was 'ramlord'"
C006.svg,jackmask,jackal-headed god (Anubis),5,"plain word, was 'Anubis'"
C007.svg,stormgod,god with Seth-animal head (Seth),5,"plain word, was 'Seth'"
C008.svg,plumeman,ithyphallic god with plumes (Min),5,"plain word, was 'Min'"
C009.svg,goddess,goddess with horns and disc (Hathor),5,
C010.svg,truthgod,goddess with feather on head (Maat),5,"plain word, was 'Maat'"
C010A.svg,truth,goddess Maat seated with feather,4,Maat=truth/order
C011.svg,eternity,"god supporting the sky (Heh, eternity)",4,millions of years
C016.svg,prophet,deity with divine beard and emblem,4,"dedup of 'god'; plain word, was 'deity'; real noun, was 'bearded'"
C017.svg,plumegod,god with two falcon plumes,4,"dedup of 'god'; plain word, was 'divinity'; real noun, was 'twoplume'"
C021.svg,crownboy,child god with sidelock and crown,3,"plain word, was 'Khonsu'"
C022.svg,ladygod,goddess seated holding emblem,5,"dedup of 'goddess'; shortened from 'divine-lady'; plain word, was 'seeress'; real noun, was 'emblemgod'"
C023.svg,crowngod,goddess wearing crown/emblem,5,"dedup of 'goddess'; shortened from 'crown-lady'; plain word, was 'diadem'; real noun, was 'crownone'"
C024.svg,hornlady,goddess with horns and disc (Isis),5,"dedup of 'goddess'; shortened from 'sky-lady'; plain word, was 'skyqueen'"
D008.svg,eye,eye within an enclosure,5,
D008A.svg,darkeye,eye with painted cosmetic lines,5,"dedup of 'eye'; shortened from 'painted-eye'; plain word, was 'kohleye'"
D009.svg,tear,eye with flowing tears,5,
D010.svg,horuseye,eye of Horus (wedjat eye),5,"dedup of 'eye'; plain word, was 'wedjat'"
D012.svg,pupil,pupil / iris of the eye,5,
D018.svg,ear,ear of an animal,5,
D027.svg,breast,female breast,5,
D028.svg,arms,two arms raised (ka),5,
D029.svg,gesture,two raised arms with standard (ka),4,"dedup of 'arms'; shortened from 'ka-arms'; plain word, was 'kasign'; real noun, was 'upreach'"
D030.svg,salute,two arms raised in adoration,4,"dedup of 'arms'; shortened from 'raised-arms'; real noun, was 'upraised'"
D031.svg,upholder,arms holding/supporting an object,4,dedup of 'arms'; shortened from 'holding-arms'
D032.svg,embrace,two arms extended in embrace,4,dedup of 'arms'; shortened from 'open-arms'
D035.svg,refusal,two arms in gesture of negation,4,dedup of 'arms'; shortened from 'spread-arms'
D036.svg,arm,forearm (arm),5,
D037.svg,giver,forearm holding a loaf (giving),4,"dedup of 'arm'; shortened from 'giving-arm'; real noun, was 'bestow'"
D038.svg,loafhand,forearm holding a round loaf,4,dedup of 'arm'; shortened from 'loaf-arm'
D039.svg,bowlhand,forearm holding a bowl,4,dedup of 'arm'; shortened from 'bowl-arm'
D040.svg,smiter,forearm holding a stick,4,dedup of 'arm'; shortened from 'striking-arm'
D041.svg,palm,forearm with hand bent palm down,5,"dedup of 'arm'; shortened from 'resting-arm'; real noun, was 'palmdown'"
D042.svg,cubit,forearm for measuring (cubit),4,dedup of 'arm'
D043.svg,flail,forearm holding a flail,4,
D044.svg,sceptre,forearm holding a sceptre,4,
D045.svg,baton,forearm holding a wand,4,"dedup of 'arm'; shortened from 'wand-arm'; real noun, was 'wander'"
D047.svg,hand,hand,5,
D050B.svg,finger,finger,5,
D050C.svg,digit,finger,5,dedup of 'finger'
D050D.svg,fingertip,finger,5,dedup of 'finger'
D050E.svg,fingers,fingers,5,
D050F.svg,digits,fingers,5,dedup of 'fingers'; shortened from 'hand-span'
D050G.svg,knuckles,fingers,5,dedup of 'fingers'
D050I.svg,nailtip,fingers,5,"dedup of 'fingers'; shortened from 'fingerprints'; real noun, was 'fingermk'"
D051.svg,pointer,finger (horizontal),5,dedup of 'finger'; shortened from 'forefinger'
D055.svg,legs,two legs walking backward,4,
D057.svg,leg,leg with knife,5,
D059.svg,limb,leg and foot with arm sign,5,"dedup of 'leg'; shortened from 'stride-leg'; real noun, was 'steplimb'"
D063.svg,shin,leg and foot,5,dedup of 'leg'
D064.svg,strider,legs walking in motion,4,dedup of 'legs'; shortened from 'walking-legs'
D066.svg,sole,leg and foot,4,dedup of 'foot'
D067.svg,toe,foot / toe,4,
D067A.svg,footprint,foot / toe,5,dedup of 'foot'
D067B.svg,footfall,foot / toe,5,dedup of 'foot'
D067C.svg,heel,foot / toe,5,dedup of 'foot'
D067D.svg,instep,foot / toe,5,dedup of 'foot'
D067E.svg,tread,foot / toe,5,dedup of 'foot'
D067F.svg,step,foot / toe,5,dedup of 'foot'
D067G.svg,footstep,foot / toe,5,dedup of 'foot'
D067H.svg,footpad,foot / toe,5,"dedup of 'foot'; real noun, was 'barefoot'"
E002.svg,bull,charging bull,5,
E005.svg,cow,cow suckling a calf,5,
E006.svg,horse,horse,5,
E013.svg,cat,cat,5,
E014.svg,dog,dog / hound,5,
E015.svg,jackal,recumbent jackal,5,
E017.svg,wolf,jackal / wolf standing,4,
E017A.svg,loner,jackal / wolf variant,4,dedup of 'wolf'; shortened from 'lone-wolf'
E018.svg,greypelt,wolf/jackal on standard (Wepwawet),4,dedup of 'wolf'; shortened from 'grey-wolf'
E019.svg,hounddog,jackal-like animal on standard,3,"dedup of 'wolf'; shortened from 'wild-wolf'; real noun, was 'feralone'"
E020.svg,beast,Seth animal (mythical beast),4,
E020A.svg,creature,Seth animal variant,4,"dedup of 'beast'; shortened from 'Seth-beast'; plain word, was 'sethling'; real noun, was 'oddbeast'"
E021.svg,croucher,recumbent Seth animal,4,dedup of 'beast'; shortened from 'crouching-beast'
E022.svg,lion,recumbent lion,5,
E023.svg,lioness,recumbent lion,5,dedup of 'lion'
E024.svg,leopard,leopard / panther,5,
E025.svg,hippo,hippopotamus,4,
E026.svg,elephant,elephant,5,
E028.svg,gazelle,oryx / gazelle,4,
E034.svg,hare,desert hare,5,
E038.svg,ox,long-horned bull / cattle,4,
F002.svg,horns,horns of a bull,5,
F003.svg,head,head and horns of a hippopotamus,3,
F004.svg,forepaw,forepart of a lion,4,"dedup of 'lion'; shortened from 'lion-front'; plain word, was 'foreleon'"
F005.svg,antelope,head of a hartebeest antelope,4,
F007.svg,ram,head of a ram,5,
F009.svg,catface,head of a leopard / panther,4,"dedup of 'panther'; shortened from 'panther-head'; plain word, was 'spotface'"
F013.svg,oxhorns,horns of an ox,5,dedup of 'horns'; shortened from 'ox-horns'
F013A.svg,twinhorn,horns variant,5,dedup of 'horns'; shortened from 'twin-horns'
F031.svg,hide,three animal skins tied together,4,
F032.svg,tail,belly and tail of a mammal,3,
F034.svg,heart,heart of an animal,5,
F041.svg,spine,vertebrae / backbone,4,
G001.svg,vulture,Egyptian vulture,5,
G002.svg,vultures,two Egyptian vultures,5,
G004.svg,hawk,buzzard / kite,4,
G005.svg,falcon,falcon (Horus falcon),5,
G006A.svg,polehawk,falcon on standard,5,"dedup of 'falcon'; shortened from 'perched-falcon'; plain word, was 'standhawk'"
G009.svg,sunbird,falcon with sun-disk on head,5,"dedup of 'falcon'; shortened from 'sun-falcon'; plain word, was 'sundisk'"
G011A.svg,holybird,image of a sacred falcon,5,"dedup of 'falcon'; shortened from 'sacred-falcon'; plain word, was 'holyhawk'"
G012.svg,kingbird,royal falcon with flagellum,5,"dedup of 'falcon'; shortened from 'royal-falcon'; plain word, was 'kinghawk'"
G013.svg,plumehawk,falcon with double plumes (Sokar),5,"dedup of 'falcon'; shortened from 'sokar-falcon'; plain word, was 'sokar'"
G014.svg,henbird,"vulture (mother vulture, Mut)",5,"dedup of 'vulture'; shortened from 'mother-vulture'; plain word, was 'mutbird'"
G016.svg,henhawk,vulture and cobra together (Two Ladies),5,"dedup of 'vulture'; plain word, was 'nekhbet'"
G017.svg,owl,owl,5,
G018.svg,owls,two owls,5,
G021.svg,fowl,guinea fowl,4,
G022.svg,hoopoe,hoopoe,5,
G023.svg,lapwing,lapwing,5,
G024.svg,tiedbird,lapwing with bound wings (rekhyt),5,"dedup of 'lapwing'; shortened from 'bound-lapwing'; plain word, was 'rekhyt'"
G025.svg,ibis,crested ibis (akh-bird),5,
G026.svg,holyibis,sacred ibis on standard (Thoth),5,"dedup of 'ibis'; shortened from 'thoth-bird'; plain word, was 'thoth'"
G026A.svg,wader,ibis (variant),5,dedup of 'ibis'; shortened from 'wading-ibis'
G027.svg,flamingo,flamingo,5,
G028.svg,darkibis,black ibis,5,"dedup of 'ibis'; shortened from 'black-ibis'; plain word, was 'inkwing'"
G029.svg,stork,jabiru / saddle-billed stork,5,
G030.svg,storks,three jabirus / storks,5,
G031.svg,heron,heron,5,
G032.svg,perchbird,heron on perch,5,"dedup of 'heron'; shortened from 'perched-heron'; plain word, was 'bennu'"
G033.svg,egret,cattle egret,5,
G034.svg,ostrich,ostrich,5,
G035.svg,cormorant,cormorant,5,
G037A.svg,sparrow,small bird / sparrow,5,
G039.svg,duck,pintail duck,5,
G040.svg,flyduck,pintail duck flying,5,"dedup of 'duck'; shortened from 'flying-duck'; plain word, was 'flyteal'"
G041.svg,landduck,pintail duck alighting,5,"dedup of 'duck'; shortened from 'alighting-duck'; plain word, was 'landteal'"
G042.svg,fatduck,widgeon / fattened duck,5,"dedup of 'duck'; shortened from 'plump-duck'; plain word, was 'plumpwig'"
G043.svg,quail,quail chick,5,
G044.svg,quails,two quail chicks,5,
G047.svg,duckling,duckling,5,
G048.svg,nest,three ducklings in a nest,4,
G049.svg,heads,two ducks' heads,3,
G050.svg,plovers,two plovers,5,
G051.svg,bird,bird pecking at fish,4,
G053.svg,soul,human-headed bird (ba-soul),4,
H006.svg,plume,ostrich feather (Maat),4,
I002.svg,turtle,turtle / tortoise,5,
I003.svg,crocodile,crocodile,5,
I004.svg,crocgod,crocodile on shrine,5,"dedup of 'crocodile'; plain word, was 'sobek'"
I007.svg,frog,frog,5,
I009.svg,viper,horned viper,5,
I010.svg,coiler,cobra,4,"dedup of 'snake'; plain word, was 'asp'"
I011A.svg,cobras,two cobras,5,
I012.svg,upcobra,erect cobra (uraeus),5,"dedup of 'cobra'; shortened from 'reared-cobra'; plain word, was 'rearcoil'"
I013.svg,potcobra,erect cobra on basket,5,"dedup of 'cobra'; shortened from 'basket-cobra'; plain word, was 'coilbask'"
I015.svg,serpent,snake / serpent,4,
K003.svg,fish,mullet fish,5,
L001.svg,scarab,dung beetle / scarab,5,
L002.svg,bee,bee,5,
L002A.svg,honeybee,bee (variant),5,dedup of 'bee'
L003.svg,fly,fly,5,
L004.svg,locust,locust / grasshopper,5,
L007.svg,scorpion,scorpion,5,
M001.svg,tree,tree,5,
M001B.svg,sapling,tree (variant),5,dedup of 'tree'
M008.svg,lotus,pool with lotus flowers,5,
M009.svg,flower,lotus flower,4,
M012C.svg,budstalk,lotus stem with bud,4,"dedup of 'lotus'; shortened from 'lotus-bud'; plain word, was 'budstem'"
M013.svg,reed,papyrus stem,4,
M014.svg,snakecane,papyrus stem with serpent,4,"dedup of 'papyrus'; shortened from 'papyrus-snake'; plain word, was 'coilstem'"
M015.svg,marsh,clump of papyrus,3,
M016.svg,sedgetuft,clump of papyrus,4,"dedup of 'reeds'; shortened from 'marsh-reeds'; plain word, was 'fentuft'"
M021.svg,sprouts,reeds sprouting from ground,5,"dedup of 'reed'; shortened from 'young-reed'; plain word, was 'sprouter'"
M022A.svg,rush,rush / sedge plant,4,
M023.svg,sedgebush,sedge plant (sw.t),3,"dedup of 'reed'; shortened from 'sedge-reed'; plain word, was 'swytuft'"
M026.svg,bloom,flowering sedge of Upper Egypt,5,"dedup of 'sedge'; shortened from 'flowering-sedge'; plain word, was 'upperse'; real noun, was 'bloomweed'"
M029.svg,seed,seed pod of plant,3,
M031.svg,root,rhizome / root with rootlets,5,
M031A.svg,roots,rhizome (variant),4,
M033.svg,grain,three grains of corn,5,
M033B.svg,corn,grains of corn (variant),4,
M034.svg,wheat,ear of emmer wheat,5,
M035.svg,heap,heap of grain,4,
M036.svg,flax,bundle of flax,5,
M037.svg,linen,bundle of flax,3,
M038.svg,faggot,bundle of flax,4,dedup of 'bundle'
M039.svg,reedstalk,bundle of reeds / corn measure,4,"dedup of 'reeds'; shortened from 'reed-bundle'; plain word, was 'bundler'"
M040.svg,sheaf,bundle of reeds,4,dedup of 'bundle'
M040A.svg,tiedreeds,bundle of reeds (variant),4,"dedup of 'reed'; shortened from 'bound-reed'; plain word, was 'tiedcane'"
M041.svg,wood,piece of wood / log,5,
M042.svg,petals,flower,5,"dedup of 'flower'; shortened from 'blossom-flower'; plain word, was 'petaller'"
M043.svg,vine,vine / grapes on trellis,5,
M044.svg,thorn,thorn,5,
N005.svg,sun,sun disc,5,
N006.svg,majesty,sun disc with uraeus,3,
N014.svg,star,star,5,
N015.svg,night,star in circle (netherworld),3,
N016.svg,land,flat land strip with grains (earth),5,
N017.svg,soil,flat strip of land (earth),4,dedup of 'earth'
N018.svg,island,sandy tract / island,5,
N018B.svg,dune,sandy island (variant),4,dedup of 'sand'
N019.svg,horizon,two horizons / sky over hills,5,
N020.svg,spit,tongue of land,3,
N021.svg,riverbank,tongue of land / riverbank,4,
N022.svg,bank,tongue of land (variant),4,dedup of 'shore'
N025.svg,desert,hilly / desert land (three hills),5,
N025A.svg,highlands,hilly / desert land (variant),4,dedup of 'hills'
N026.svg,mountain,two mountain peaks,5,
N027.svg,sunrise,sun rising over mountain,5,
N028.svg,daybreak,rays of sun over hill (sunrise),5,dedup of 'sunrise'
N030.svg,hill,mound with bushes (hill),5,
N031.svg,path,road bordered by shrubs,4,
N033.svg,grit,grain of sand / pellet,3,dedup of 'sand'
N033A.svg,grains,grains of sand (variant),4,
N035.svg,water,ripple of water,5,
N035A.svg,waves,three ripples of water,4,
N039.svg,pool,pool with water / spring,5,
N040.svg,walkpool,pool with walking legs,4,"dedup of 'pool'; shortened from 'wading-pool'; plain word, was 'walkpond'"
N041.svg,well,well full of water,5,
N042.svg,deeppool,well full of water (variant),3,"dedup of 'water'; shortened from 'deep-water'; plain word, was 'deepblue'"
O001.svg,house,house / ground plan of house,5,
O001A.svg,dwelling,house (variant),5,dedup of 'house'
O002.svg,estate,house with staff,3,
O003.svg,palace,house combined with offerings/sail,3,
O004.svg,hut,reed shelter / courtyard,3,
O005.svg,wall,winding wall / enclosure,4,
O005A.svg,rampart,winding wall (variant),4,dedup of 'wall'
O016.svg,gate,gateway with serpents,4,
O017.svg,portal,gateway / portal,4,
O018.svg,shrine,shrine / chapel in profile,5,
O019.svg,temple,shrine of the south,3,
O019A.svg,sanctuary,shrine of the south (variant),3,
O020.svg,refuge,shrine,4,dedup of 'sanctuary'
O020A.svg,oratory,shrine (variant),4,dedup of 'chapel'
O021.svg,facade,facade of shrine / booth,4,
O022.svg,tent,booth / tent with pole,4,
O023.svg,dais,double platform / jubilee dais,4,
O024.svg,pyramid,pyramid,5,
O024A.svg,apex,pyramid (variant),5,dedup of 'pyramid'; shortened from 'great-pyramid'
O025.svg,obelisk,obelisk,5,
O025A.svg,spire,obelisk (variant),5,dedup of 'obelisk'
O026.svg,slab,stela / round-topped slab,3,
O027.svg,hall,hall with columns,5,
O029.svg,column,wooden column / pillar,5,
O030A.svg,post,support / tent poles,3,
O031.svg,doorway,door / open door leaf,4,
O050.svg,floor,round threshing floor,4,
O051.svg,silo,granary / heap of grain on floor,3,shortened from 'storehouse'
P002.svg,boat,ship under sail,4,
P005.svg,sail,sail with mast,5,
P006.svg,mast,mast,5,
P007.svg,rigging,mast with arms / rigging,3,
P008.svg,oar,oar,5,
Q002.svg,chair,portable seat / carrying chair,4,
Q004.svg,pillow,headrest,4,
Q005.svg,box,chest / box,4,
Q006.svg,casket,coffin / sarcophagus,4,shortened from 'sarcophagus'
R001.svg,altar,table/altar with slices of bread,5,
R002.svg,sacrifice,altar with bread and lotus flower,4,"dedup of 'offering'; plain word, was 'oblation'"
R002A.svg,trivet,offering table variant,5,dedup of 'altar'; shortened from 'offering-stand'
R003.svg,console,low offering table with loaves,4,dedup of 'table'; shortened from 'side-table'
R003A.svg,gift,offering table variant,4,dedup of 'offering'
R004.svg,mat,loaf on a reed mat (offering),3,
R007.svg,incense,bowl with burning incense,5,
R008.svg,banner,cloth wound on a pole (god emblem),4,
R010.svg,standard,emblem on standard over a stairway,4,
R010A.svg,emblem,necropolis emblem variant,3,
R011.svg,pillar,djed pillar,5,
R016.svg,plumage,was-sceptre with feather (Theban emblem),3,dedup of 'feather'; shortened from 'plume-feather'
R016A.svg,plumetop,Theban emblem variant,4,"dedup of 'sceptre'; shortened from 'theban-sceptre'; plain word, was 'theban'"
R020.svg,arrows,crossed arrows over shield (Neith),4,
R021.svg,darts,Neith emblem variant,4,dedup of 'arrows'; shortened from 'neith-arrows'
R022.svg,crossbolt,two crossed arrows with shield (Neith),5,dedup of 'arrows'; shortened from 'crossed-arrows'
R023.svg,twindart,two crossed arrows (Neith),5,dedup of 'arrows'; shortened from 'twin-arrows'
R024.svg,longbow,bow and crossed arrows (Neith),5,dedup of 'bow'; shortened from 'neith-bow'
R025.svg,bows,two bows tied together (Neith),5,
R029.svg,throne,throne/seat with high back (Isis),5,
S003.svg,crown,Red Crown of Lower Egypt,5,
S010.svg,band,fillet / headband,3,
S015.svg,collar,broad bead collar / pectoral,5,
S017A.svg,pendant,pectoral / breast ornament,3,"dedup of 'necklace'; shortened from 'breast-ornament'; plain word, was 'breastpc'"
S020.svg,seal,seal on a bead necklace,5,
S021.svg,ring,ring / signet ring,5,
S022.svg,mantle,shoulder-knot of cloth,3,dedup of 'cloth'; shortened from 'shoulder-cloth'
S024.svg,belt,girdle-knot,3,
S025.svg,garment,ceremonial robe with ties,5,
S026.svg,apron,apron / royal kilt,5,
S026A.svg,pleats,apron variant,4,dedup of 'kilt'; shortened from 'pleated-kilt'
S026B.svg,pinafore,apron variant,5,dedup of 'apron'; shortened from 'ceremonial-apron'
S032.svg,cloth,fringed / variegated cloth,5,
S034.svg,life,ankh / sign of life,5,
S035.svg,shade,sunshade / feather fan on pole,3,
S037.svg,fan,ostrich-feather fan,5,
S038.svg,crook,crook (heqa-sceptre),5,
S043.svg,staff,walking-stick / staff,5,
T001.svg,mace,mace with flat/disc head,5,
T003.svg,warstaff,mace with pear-shaped head,4,dedup of 'club'; shortened from 'war-club'
T005.svg,cudgel,mace combined with serpent head,3,dedup of 'club'
T006.svg,bludgeon,mace with two serpent heads,3,dedup of 'club'
T007A.svg,axe,battle-axe,5,
T008.svg,dagger,dagger / poniard,5,
T008A.svg,poniard,dagger variant,5,dedup of 'dagger'
T010.svg,warbow,composite bow,5,dedup of 'bow'; shortened from 'longbow'
T011.svg,arrow,arrow,5,
T011A.svg,quarrel,arrow variant,5,"dedup of 'arrow'; shortened from 'fletched-arrow'; plain word, was 'feathshot'; real noun, was 'feathdart'"
T016.svg,sword,scimitar / curved sword (khepesh),5,
T016A.svg,sabre,scimitar variant,4,dedup of 'scimitar'; shortened from 'curved-sword'
T017.svg,cart,chariot,3,
T022.svg,barb,arrow-head / harpoon head,3,
T023.svg,harpoon,harpoon-head variant,4,
T025.svg,float,float of a harpoon,4,
T028.svg,block,butcher's chopping block,5,
T030.svg,knife,knife,5,
T036.svg,shield,round-topped shield,5,
U009.svg,measure,grain-measure with heap of grain,4,
U028.svg,drill,fire-drill / borer,5,
U042.svg,scales,pair of scales / balance,4,
V009.svg,loop,shen-ring / circular cord,3,
V017.svg,amulet,"herdsman's shelter (sa, protection)",3,sa=protection
V018.svg,wardknot,protection-knot variant (sa),3,"dedup of 'amulet'; shortened from 'knot-amulet'; plain word, was 'safecharm'; real noun, was 'safetie'"
V021.svg,cord,looped measuring cord,4,
V023.svg,whip,whip,5,
V023A.svg,scourge,whip variant,5,dedup of 'whip'
V024.svg,ropecoil,cord wound on a stick (wedj),4,"dedup of 'cord'; shortened from 'stick-cord'; plain word, was 'wedjwind'; real noun, was 'woundrope'"
V025.svg,coilrope,cord on stick variant,4,"dedup of 'cord'; shortened from 'wound-cord'; plain word, was 'coiltwine'"
V026.svg,needle,netting-needle / spindle with thread,3,
V027.svg,meshhook,netting-needle variant,3,"dedup of 'needle'; shortened from 'netting-needle'; plain word, was 'meshtool'"
V028.svg,wick,wick of twisted flax,5,
V029.svg,mop,swab / mop of fibres,3,
V029A.svg,linenpad,swab variant,3,"dedup of 'mop'; shortened from 'fibre-mop'; plain word, was 'linenwad'"
V030.svg,basket,wicker basket (neb),5,
V030A.svg,wickerbox,basket variant,5,"dedup of 'basket'; shortened from 'wicker-basket'; plain word, was 'wickercup'"
V031.svg,hamper,basket with handle,3,
V032.svg,frail,wickerwork frail / basket-bag,4,dedup of 'basket'
V033.svg,bag,bag of linen / sack,5,
V033A.svg,linenroll,bag/sack variant,5,"dedup of 'bag'; shortened from 'linen-bag'; plain word, was 'linenholr'"
V034.svg,satchel,bag / bundle variant,4,dedup of 'bag'; shortened from 'pouch-bag'
V037.svg,bandage,bandage / roll of linen,5,
W002.svg,jar,oil-jar,5,
W003.svg,basin,alabaster basin (festival sign),4,
W003A.svg,feastdish,alabaster basin variant,4,dedup of 'bowl'; shortened from 'festival-bowl'
W005.svg,ewer,jar with handles for ablution,3,
W006.svg,kettle,metal vessel with handle,3,dedup of 'pot'; shortened from 'cauldron-pot'
W007.svg,stonecup,granite bowl / stone basin,5,"dedup of 'bowl'; shortened from 'granite-bowl'; plain word, was 'granitug'"
W008.svg,stonebowl,stone bowl variant,3,"dedup of 'basin'; shortened from 'granite-basin'; plain word, was 'granbasn'"
W009.svg,rockpot,stone jug with handle,3,"dedup of 'jar'; shortened from 'stone-jar'; plain word, was 'rockcrock'"
W010.svg,cup,cup / bowl,5,
W010A.svg,goblet,cup / bowl variant,5,dedup of 'cup'
W011.svg,stand,ring-stand for a jar,4,
W012.svg,potring,ring-stand variant,4,"dedup of 'stand'; shortened from 'ring-stand'; plain word, was 'ringbase'"
W013.svg,pot,red pot / earthenware jar,5,
W016.svg,rack,jars in a rack,3,
W017.svg,jarrack,rack holding water-jars,3,"dedup of 'rack'; shortened from 'jar-rack'; plain word, was 'jarshelf'"
W018.svg,crockpot,water-jars in a rack variant,3,"dedup of 'rack'; shortened from 'pot-rack'; plain word, was 'crockrack'"
W018A.svg,jugshelf,water-jars in a rack variant,4,"dedup of 'jars'; shortened from 'jar-row'; plain word, was 'jugrow'"
W019.svg,jug,milk-jug carried in a net,5,
W020.svg,leafjug,milk-jug with leaf cover,5,"dedup of 'jug'; shortened from 'milk-jug'; plain word, was 'leafewer'"
W021.svg,wine,two wine-jars,3,
W022.svg,flagon,beer-jar / wine-jar,5,"dedup of 'jar'; shortened from 'beer-jar'; plain word, was 'brewcrock'"
W023.svg,pitcher,jar with handles,3,dedup of 'jug'; shortened from 'water-jug'
W024.svg,roundpot,round pot / bowl,5,"dedup of 'pot'; shortened from 'round-pot'; plain word, was 'orbpot'"
W024A.svg,widepot,round pot variant,5,"dedup of 'pot'; shortened from 'wide-pot'; plain word, was 'widecrock'"
W025.svg,legpot,pot with legs (carrying jar),3,"dedup of 'jar'; shortened from 'footed-jar'; plain word, was 'footflask'"
X001.svg,bread,loaf of bread,5,
X002.svg,whitebap,tall conical loaf of bread,4,dedup of 'bread'; shortened from 'white-bread'
X003.svg,flatbread,loaf of bread variant,4,dedup of 'bread'
X004.svg,bun,roll / bun of bread,3,
X004A.svg,tenderbun,bread-roll variant,4,dedup of 'bread'; shortened from 'soft-bread'
X004B.svg,freshbun,bread-roll variant,4,dedup of 'bread'; shortened from 'fresh-bread'
X006.svg,cake,round cake / loaf (pat),5,
X007.svg,brokebun,broken / half loaf of bread,4,dedup of 'bread'; shortened from 'broken-bread'
X008.svg,cone,tall pointed cone of bread,4,
