picture,word,depicts,score,remarks
G025.svg,tufthead,crested ibis (akh-bird),4,"dedup of 'crested'; shortened from 'plumed-crest'; plain word, was 'tufty'"
G026.svg,blessed,sacred ibis on standard (Thoth),4,dedup of 'sacred'
G027.svg,rosy,flamingo,3,
G028.svg,black,black ibis,4,
G031.svg,stately,heron,3,
G033.svg,white,cattle egret,3,
G034.svg,fleeting,ostrich,3,dedup of 'swift'
G037A.svg,little,small bird / sparrow,3,
G042.svg,fattened,widgeon / fattened duck,3,
G043.svg,tiny,quail chick,3,dedup of 'little'
G047.svg,downy,duckling,3,dedup of 'little'
G053.svg,soaring,human-headed bird (ba-soul),3,dedup of 'winged'
H006.svg,feathery,ostrich feather (Maat),3,dedup of 'feathered'
I003.svg,scaly,crocodile,3,
I004.svg,awesome,crocodile on shrine,3,"dedup of 'sacred'; shortened from 'hallowed-beast'; plain word, was 'numinous'"
I009.svg,browed,horned viper,4,dedup of 'horned'; shortened from 'horn-browed'
L002.svg,buzzing,bee,3,dedup of 'winged'
L007.svg,venomous,scorpion,3,
M001.svg,wooded,tree,3,
M001B.svg,leafy,tree (variant),3,
M008.svg,blooming,pool with lotus flowers,3,
M009.svg,flowery,lotus flower,3,shortened from 'blossoming'
M012C.svg,budding,lotus stem with bud,3,
M013.svg,green,papyrus stem,3,
M016.svg,marshy,clump of papyrus,3,
M026.svg,flowering,flowering sedge of Upper Egypt,4,
M031.svg,rooted,rhizome / root with rootlets,3,
M033.svg,ripe,three grains of corn,3,
M034.svg,golden,ear of emmer wheat,3,
M041.svg,wooden,piece of wood / log,3,
M042.svg,fragrant,flower,3,dedup of 'flowering'; scent
M043.svg,climbing,vine / grapes on trellis,3,
M044.svg,thorny,thorn,3,dedup of 'sharp'
N005.svg,sunlit,sun disc,3,dedup of 'shining'
N005.svg,gleaming,sun disc,3,dedup of 'radiant'
N006.svg,glowing,sun disc with uraeus,3,dedup of 'shining'
N014.svg,starry,star,4,dedup of 'shining'
N014.svg,twinkling,star,3,
N016.svg,fertile,flat land strip with grains (earth),3,
N018.svg,sandy,sandy tract / island,3,
N025.svg,distant,hilly / desert land (three hills),3,dedup of 'foreign'
N026.svg,rocky,two mountain peaks,3,
N028.svg,rising,rays of sun over hill (sunrise),4,
N031.svg,winding,road bordered by shrubs,3,
N035.svg,flowing,ripple of water,4,
N035A.svg,rippling,three ripples of water,4,dedup of 'flowing'
O005.svg,curving,winding wall / enclosure,3,dedup of 'winding'
O018.svg,holy,shrine / chapel in profile,3,dedup of 'sacred'
O024.svg,peaked,pyramid,3,dedup of 'towering'; shortened from 'towering-peak'
O025.svg,lofty,obelisk,3,dedup of 'towering'
O027.svg,pillared,hall with columns,3,
O029.svg,tall,wooden column / pillar,3,
O031.svg,open,door / open door leaf,3,
O050.svg,round,round threshing floor,3,
P005.svg,billowing,sail with mast,3,
R001.svg,pious,table/altar with slices of bread,3,dedup of 'sacred'; shortened from 'consecrated'
R004.svg,peaceful,loaf on a reed mat (offering),3,hotep=peace
R008.svg,celestial,cloth wound on a pole (god emblem),4,dedup of 'divine'
R008.svg,godly,cloth wound on a pole (god emblem),3,dedup of 'holy'; shortened from 'blessed-cloth'
R011.svg,stable,djed pillar,4,
R011.svg,enduring,djed pillar,4,
R022.svg,crossed,two crossed arrows with shield (Neith),3,
R023.svg,linked,two crossed arrows (Neith),3,dedup of 'crossed'; shortened from 'interlocked'
S003.svg,scarlet,Red Crown of Lower Egypt,3,dedup of 'royal'; crown color
S032.svg,fringed,fringed / variegated cloth,3,
S034.svg,living,ankh / sign of life,5,
T008.svg,whetted,dagger / poniard,3,dedup of 'sharp'; shortened from 'keen-edged'
T008.svg,deadly,dagger / poniard,3,
T011.svg,arrowy,arrow,3,dedup of 'swift'; shortened from 'arrow-swift'
T011.svg,piercing,arrow,3,dedup of 'sharp'
T016.svg,curved,scimitar / curved sword (khepesh),3,dedup of 'sharp'
T022.svg,barbed,arrow-head / harpoon head,3,dedup of 'sharp'
T030.svg,honed,knife,4,dedup of 'sharp'
V028.svg,twisted,wick of twisted flax,3,
V029.svg,lasting,swab / mop of fibres,3,dedup of 'enduring'
V030.svg,ample,wicker basket (neb),3,was 'all'
W013.svg,red,red pot / earthenware jar,3,
X007.svg,broken,broken / half loaf of bread,3,
Y005.svg,timeless,draughts-board / game-board (senet),3,dedup of 'enduring'
Z009.svg,strokes,two crossed diagonal strokes,3,dedup of 'crossed'; shortened from 'crossed-strokes'
Z010.svg,meshed,crossed strokes variant,3,dedup of 'crossed'; shortened from 'intersecting'
A003.svg,crouching,man seated on heel,3,carried from verbs
A004.svg,praying,seated man with arms raised in adoration,3,carried from verbs
A006B.svg,cleansing,man under a stream of water from a vessel,3,carried from verbs
A009.svg,bearing,man with a basket on his head,3,carried from verbs
A010.svg,rowing,man seated in a boat holding an oar,3,carried from verbs
A022.svg,standing,"man holding staff and sceptre, statue",3,carried from verbs
A026.svg,calling,man with one arm outstretched calling,3,carried from verbs
A030.svg,adoring,man with arms raised in praise,3,carried from verbs
A032A.svg,twirling,man dancing with one arm forward,3,carried from verbs
A033.svg,wandering,man with staff and bundle over shoulder,3,carried from verbs
A034.svg,pounding,man pounding in a mortar,3,carried from verbs
A035.svg,building,"man building a wall, laying bricks",3,carried from verbs
A036.svg,brewing,man kneading in a vat (brewer),3,carried from verbs
A038.svg,wrestling,man grasping necks of two panthers,3,carried from verbs
A039.svg,gripping,man grasping necks of two giraffes,3,carried from verbs
A056.svg,guarding,man seated holding a stick,3,carried from verbs
A057.svg,raising,man holding stick and bag,3,carried from verbs
A060.svg,sowing,man sowing seed while walking,3,carried from verbs
A061.svg,striking,"man brandishing weapon, striking",3,carried from verbs
A062.svg,hoisting,man with raised arm holding object on head,3,carried from verbs
A068.svg,upright,"man with arms hanging, standing",3,carried from verbs
A069.svg,leaping,dancing/leaping man,3,carried from verbs
A070.svg,warding,man holding a long staff upright,3,carried from verbs
Aa005.svg,steering,part of a steering-oar/ship's gear,3,carried from verbs
B005.svg,nursing,woman nursing a child,3,carried from verbs
B005A.svg,suckling,woman seated nursing a child,3,carried from verbs
B006.svg,tending,woman seated holding a child,3,carried from verbs
B008.svg,clasping,woman holding a lotus flower,3,carried from verbs
B009.svg,kneeling,woman kneeling,3,carried from verbs
C011.svg,upholding,"god supporting the sky (Heh, eternity)",3,carried from verbs
D018.svg,listening,ear of an animal,3,carried from verbs
D027.svg,nurturing,female breast,3,carried from verbs
D028.svg,embracing,two arms raised (ka),3,carried from verbs
D029.svg,enfolding,two raised arms with standard (ka),3,carried from verbs
D030.svg,exalting,two arms raised in adoration,3,carried from verbs
D031.svg,bracing,arms holding/supporting an object,3,carried from verbs
D031A.svg,lifting,arms supporting/lifting an object,3,carried from verbs
D032.svg,hugging,two arms extended in embrace,3,carried from verbs
D035.svg,refusing,two arms in gesture of negation,3,carried from verbs
D036.svg,reaching,forearm (arm),3,carried from verbs
D037.svg,giving,forearm holding a loaf (giving),3,carried from verbs
D038.svg,bestowing,forearm holding a round loaf,3,carried from verbs
D039.svg,handing,forearm holding a bowl,3,carried from verbs
D041.svg,halting,forearm with hand bent palm down,3,carried from verbs
D042.svg,measuring,forearm for measuring (cubit),3,carried from verbs
D043.svg,whipping,forearm holding a flail,3,carried from verbs
D044.svg,ruling,forearm holding a sceptre,3,carried from verbs
D045.svg,wielding,forearm holding a wand,3,carried from verbs
D047.svg,clutching,hand,3,carried from verbs
D050B.svg,pointing,finger,3,carried from verbs
D051.svg,showing,finger (horizontal),3,carried from verbs
D055.svg,backing,two legs walking backward,3,carried from verbs
D064.svg,striding,legs walking in motion,3,carried from verbs
E021.svg,lurking,recumbent Seth animal,3,carried from verbs
G002.svg,gliding,two Egyptian vultures,3,carried from verbs
G004.svg,circling,buzzard / kite,3,carried from verbs
G014.svg,brooding,"vulture (mother vulture, Mut)",3,carried from verbs
G026A.svg,paddling,ibis (variant),3,carried from verbs
G029.svg,wadingby,jabiru / saddle-billed stork,3,carried from verbs
G030.svg,foraging,three jabirus / storks,3,carried from verbs
G032.svg,roosting,heron on perch,3,carried from verbs
G035.svg,diving,cormorant,3,carried from verbs
G039.svg,swimming,pintail duck,3,carried from verbs
G040.svg,flying,pintail duck flying,3,carried from verbs
G041.svg,alighting,pintail duck alighting,3,carried from verbs
G048.svg,nesting,three ducklings in a nest,3,carried from verbs
G050.svg,dabbling,two plovers,3,carried from verbs
G051.svg,pecking,bird pecking at fish,3,carried from verbs
I002.svg,crawling,turtle / tortoise,3,carried from verbs
I007.svg,hopping,frog,3,carried from verbs
I010.svg,rearing,cobra,3,carried from verbs
I011A.svg,coiling,two cobras,3,carried from verbs
I012.svg,rampant,erect cobra (uraeus),3,carried from verbs
I013.svg,hooding,erect cobra on basket,3,carried from verbs
I015.svg,creeping,snake / serpent,3,carried from verbs
K003.svg,finned,mullet fish,3,carried from verbs
L001.svg,scuttling,dung beetle / scarab,3,carried from verbs
L002A.svg,humming,bee (variant),3,carried from verbs
L003.svg,droning,fly,3,carried from verbs
L004.svg,springing,locust / grasshopper,3,carried from verbs
M021.svg,sprouting,reeds sprouting from ground,3,carried from verbs
N027.svg,dawning,sun rising over mountain,3,carried from verbs
N040.svg,fording,pool with walking legs,3,carried from verbs
P002.svg,sailing,ship under sail,3,carried from verbs
P008.svg,oaring,oar,3,carried from verbs
R007.svg,burning,bowl with burning incense,3,carried from verbs
S038.svg,governing,crook (heqa-sceptre),3,carried from verbs
T003.svg,smashing,mace with pear-shaped head,3,carried from verbs
T007A.svg,fighting,battle-axe,3,carried from verbs
T010.svg,shooting,composite bow,3,carried from verbs
T011A.svg,firing,arrow variant,3,carried from verbs
T017.svg,riding,chariot,3,carried from verbs
T028.svg,carving,butcher's chopping block,3,carried from verbs
T036.svg,defending,round-topped shield,3,carried from verbs
U028.svg,drilling,fire-drill / borer,3,carried from verbs
U042.svg,weighing,pair of scales / balance,3,carried from verbs
V009.svg,ringing,shen-ring / circular cord,3,carried from verbs
V017.svg,shielding,"herdsman's shelter (sa, protection)",3,carried from verbs
V023.svg,lashing,whip,3,carried from verbs
V024.svg,binding,cord wound on a stick (wedj),3,carried from verbs
V037.svg,wrapping,bandage / roll of linen,3,carried from verbs
Y003.svg,writing,"scribe's outfit (palette, pen-case)",3,carried from verbs
Y004.svg,penning,scribe's outfit variant,3,carried from verbs
